#{"t_start": 1749473319.122337, "env_id": "None"}
r,l,t
1720.231798,779,40.62632
1815.86349,909,70.671543
1865.664621,883,100.727729
-357.117667,906,130.771291
1701.730126,891,160.800674
-1468.139617,902,190.830945
1656.7127,889,220.872359
843.036344,902,250.910936
851.982309,902,280.95674
512.573446,890,311.000517
370.817242,852,341.045899
-408.923705,296,442.039147
-429.403594,850,472.092048
1226.573109,852,502.119275
3.962632,840,532.156764
-388.961626,875,562.202139
-89.624248,875,592.229521
-120.254774,852,622.27967
1608.777754,864,652.308269
