#{"t_start": 1749473318.636068, "env_id": "None"}
r,l,t
1599.904491,780,41.147792
-1224.125542,909,71.196106
931.580678,883,101.253148
-1983.790506,906,131.302648
-1113.182627,891,161.332726
-1304.19499,902,191.363908
-1387.473551,889,221.398555
884.110586,902,251.436343
-1594.478781,902,281.482573
-979.751202,890,311.525584
-1311.520826,852,341.581067
-170.265123,295,442.518126
857.485416,850,472.586662
1283.449223,852,502.613508
-107.62065,840,532.64291
-1369.719461,875,562.700445
-503.948901,876,592.753658
1638.367913,852,622.804837
-821.034223,864,652.840111
